"filename", "language", "JSON", "XML", "Markdown", "JavaScript", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"d:\YashEnterprisesPrototype\client\src\styles\OfferPoolDashboard.css", "PostCSS", 0, 0, 0, 0, 607, 0, 0, 32, 108, 747
"d:\YashEnterprisesPrototype\client\src\styles\ProductDetail.css", "PostCSS", 0, 0, 0, 0, 266, 0, 0, 4, 43, 313
"d:\YashEnterprisesPrototype\client\src\styles\SearchResults.css", "PostCSS", 0, 0, 0, 0, 328, 0, 0, 8, 51, 387
"d:\YashEnterprisesPrototype\client\src\styles\StockHistory.css", "PostCSS", 0, 0, 0, 0, 353, 0, 0, 25, 67, 445
"d:\YashEnterprisesPrototype\client\src\styles\UpdateStock.css", "PostCSS", 0, 0, 0, 0, 826, 0, 0, 23, 139, 988
"d:\YashEnterprisesPrototype\client\src\styles\ViewCompanies.css", "PostCSS", 0, 0, 0, 0, 680, 0, 0, 19, 103, 802
"d:\YashEnterprisesPrototype\client\src\styles\ViewOffers.css", "PostCSS", 0, 0, 0, 0, 510, 0, 0, 19, 85, 614
"d:\YashEnterprisesPrototype\client\src\styles\ViewProducts.css", "PostCSS", 0, 0, 0, 0, 736, 0, 0, 21, 124, 881
"d:\YashEnterprisesPrototype\client\src\styles\style.css", "PostCSS", 0, 0, 0, 0, 39, 0, 0, 2, 7, 48
"d:\YashEnterprisesPrototype\client\src\utils\preventNumberScroll.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 4, 3, 18
"d:\YashEnterprisesPrototype\client\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 2842, 2, 9, 53, 8499, 6796, 13, 634, 2180, 21028
